riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,text_2.started,text_2.stopped,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.24907357900156,76.23427494700081,5.001534605999041,[0.06597222222222222],[-0.3767361111111111],[1],[0],[0],[0.8001844490026997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.05074457500086,2.360299913561903e-05,77.05074457500086,[0.078125],[-0.4079861111111111],[1],[0],[0],[0.8496620699988853],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.90105704000234,1.813700146158226e-05,77.90105704000234,[0.0763888888888889],[-0.4027777777777778],[1],[0],[0],[0.7830144629988354],,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.68462086400177,79.66775883200171,79.68452943400189,80.66888105800172,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.66888105800172,81.66896544799965,81.66896544799965,82.66937917800169,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.66937917800169,83.6695477409994,83.6695477409994,84.66960216000007,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.66960216000007,84.66960216000007,84.66960216000007,0.0012957769977219868,342,1,0.0798611111111111,-0.3993055555555556,1,0,0,cont_buttonPractice,86.65420086800077,87.65428988300118,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.65428988300118,88.65430009299962,88.65430009299962,89.65437382399978,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.65437382399978,90.63902153500021,90.65578335800092,91.63908875400011,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.63908875400011,92.63931953300198,92.63931953300198,93.63937315500152,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.63937315500152,93.63937315500152,93.63937315500152,0.0004245429990987759,937,1,0.07291666666666667,-0.3940972222222222,1,0,0,cont_buttonPractice,95.8739183200014,96.87399727800221,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87399727800221,97.86293375899913,97.86293375899913,98.85882688700076,98.87626819499928,99.85821020100047,"[5, 9, 6]",,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.85821020100047,100.85898218800139,100.85898218800139,101.85899389300175,"[5, 9, 6]",,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.85899389300175,102.84520580699973,102.84520580699973,103.8584400030013,"[5, 9, 6]",,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
