riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,loc,realChoice.keys,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,realChoice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.702249855003174,8.70104379500117,return,1.480615904998558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
,,,,,,,,,,,,,,,,10.21008366100068,12.202465605001635,v,3.4675743019979564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
,,,,,,,,,,,,,,,,,,,,15.689678657003242,15.689678657003242,v,0.4999796529991727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
28.21,0.0,3.89,0,,,,,0,0,0,1,,,,,,,,,,,,,16.23886646000028,16.23886646000028,16.23886646000028,16.23886646000028,16.23886646000028,16.23886646000028,16.23886646000028,18.205471172001126,18.205471172001126,18.205471172001126,20.2058424450006,20.2058424450006,20.2058424450006,1,None,20.22249375300089,22.22305467700062,22.22305467700062,22.22305467700062,22.22305467700062,22.22305467700062,22.22305467700062,23.22289492800337,23.22289492800337,23.22289492800337,23.22289492800337,23.22289492800337,nan,nan,23.22289492800337,24.224375899000734,,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
20.03,0.0,1.99,0,,,,,0,1,1,0,,,,,,,,,,,,,24.224375899000734,24.224375899000734,24.224375899000734,24.224375899000734,24.224375899000734,24.224375899000734,24.224375899000734,26.207143609000923,26.207143609000923,26.207143609000923,,,,2,v,28.207479096003226,30.209009501002583,30.209009501002583,30.209009501002583,30.209009501002583,30.209009501002583,30.209009501002583,31.208740449001198,31.208740449001198,31.208740449001198,31.208740449001198,31.208740449001198,1.99,0,31.208740449001198,32.20912964300078,0.2942415319994325,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
17.73,0.0,3.13,0,,,,,0,2,2,2,,,,,,,,,,,,,32.20912964300078,32.20912964300078,32.20912964300078,32.20912964300078,32.20912964300078,32.20912964300078,32.20912964300078,34.19276223700217,34.19276223700217,34.19276223700217,,,,2,n,36.19367937300194,38.194125534002524,38.194125534002524,38.194125534002524,38.194125534002524,38.194125534002524,38.194125534002524,39.19404729800226,39.19404729800226,39.19404729800226,39.19404729800226,39.19404729800226,0.0,1,39.19404729800226,,0.428676199997426,,001,2022-07-30_18h14.26.534,CGTriskyDMtask,2022.2.1,60.121328930927405,
