riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.956315571998857,7.952530138998554,return,1.1413245520016062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
,,,,,,,,,,,,,,,,9.118591656999342,11.102173880999544,v,1.2476460359994235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
,,,,,,,,,,,,,,,,,,,,12.370757306000087,12.370757306000087,v,1.8111331760010216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
28.21,0.0,3.89,0,,,,,0,0,0,1,,,,,,,,,,,,,14.221412938999492,14.221412938999492,14.221412938999492,14.221412938999492,14.221412938999492,14.221412938999492,14.221412938999492,16.187996431999636,16.187996431999636,16.187996431999636,1,v,0.4177533880010742,18.189124245998755,20.189518743998633,20.189518743998633,20.189518743998633,20.189518743998633,20.189518743998633,20.189518743998633,21.189703752999776,21.189703752999776,21.189703752999776,21.189703752999776,21.189703752999776,0.0,1,21.189703752999776,22.190796771999885,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
17.73,0.0,3.13,0,,,,,0,1,1,2,,,,,,,,,,,,,22.190796771999885,22.190796771999885,22.190796771999885,22.190796771999885,22.190796771999885,22.190796771999885,22.190796771999885,24.174411142999816,24.174411142999816,24.174411142999816,2,v,0.4387866480010416,26.174643388998447,28.175903233999634,28.175903233999634,28.175903233999634,28.175903233999634,28.175903233999634,28.175903233999634,29.175982869999643,29.175982869999643,29.175982869999643,29.175982869999643,29.175982869999643,3.13,0,29.175982869999643,30.17619608699897,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
20.03,0.0,1.99,0,,,,,0,2,2,0,,,,,,,,,,,,,30.17619608699897,30.17619608699897,30.17619608699897,30.17619608699897,30.17619608699897,30.17619608699897,30.17619608699897,32.160613819998616,32.160613819998616,32.160613819998616,2,n,0.26930036200064933,34.16108133799935,36.161347395998746,36.161347395998746,36.161347395998746,36.161347395998746,36.161347395998746,36.161347395998746,,,,,,20.03,1,37.162354715999754,38.517942803999176,,,,,,,,,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,38.517942803999176,39.14629361799962,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,9,201,return,4.6509133800009295,,001,2022-07-28_15h23.46.131,CGTriskyDMtask,2022.2.1,59.94267178781862,
