riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.995625833998929,7.992809493000095,return,16.524675920001755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
,,,,,,,,,,,,,,,,24.54865667699778,26.532760859998234,n,1.1361891150008887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
,,,,,,,,,,,,,,,,,,,,27.699079787998926,27.699079787998926,n,0.7224203900004795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
17.73,0.0,3.13,0,,,,,0,0,0,2,,,,,,,,,,,,,28.466771856998093,28.466771856998093,28.466771856998093,28.466771856998093,28.466771856998093,28.466771856998093,28.466771856998093,30.43325072600055,30.43325072600055,30.43325072600055,1,n,0.37162311800420866,32.43441362699741,34.43477808899843,34.43477808899843,34.43477808899843,34.43477808899843,34.43477808899843,34.43477808899843,35.43480848800027,35.43480848800027,35.43480848800027,35.43480848800027,35.43480848800027,3.13,0,35.43480848800027,36.43469931499931,,,,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
28.21,0.0,3.89,0,,,,,0,1,1,1,,,,,,,,,,,,,36.43469931499931,36.43469931499931,36.43469931499931,36.43469931499931,36.43469931499931,36.43469931499931,36.43469931499931,38.419659339000646,38.419659339000646,38.419659339000646,2,None,,40.436346309998044,42.43782061099773,42.43782061099773,42.43782061099773,42.43782061099773,42.43782061099773,42.43782061099773,43.43793500500033,43.43793500500033,43.43793500500033,43.43793500500033,43.43793500500033,nan,nan,43.43793500500033,44.438243908000004,40.419816326997534,40.419816326997534,40.419816326997534,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
20.03,0.0,1.99,0,,,,,0,2,2,0,,,,,,,,,,,,,44.438243908000004,44.438243908000004,44.438243908000004,44.438243908000004,44.438243908000004,44.438243908000004,44.438243908000004,46.421556838999095,46.421556838999095,46.421556838999095,2,None,,48.43944832499983,50.43969698199726,50.43969698199726,50.43969698199726,50.43969698199726,50.43969698199726,50.43969698199726,51.43979780299924,51.43979780299924,51.43979780299924,51.43979780299924,51.43979780299924,nan,nan,51.43979780299924,,48.42309892099729,48.42309892099729,48.42309892099729,,001,2022-07-30_17h20.58.726,CGTriskyDMtask,2022.2.1,59.95647903029975,
