riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,endRedirect.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.008578394999859,7.9917026450002595,return,0.5785819770007947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
,,,,,,,,,,,,,,,,,,,,,,8.59186463200058,10.576205913999729,v,0.49850379200142925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.092983340000501,11.092983340000501,v,0.38903694600048766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,11.526843400000871,11.526843400000871,11.526843400000871,11.526843400000871,11.526843400000871,11.526843400000871,11.526843400000871,13.493352268000308,13.493352268000308,13.493352268000308,2,n,0.2607850630010944,15.494543304999752,17.494763095000962,17.494763095000962,17.494763095000962,17.494763095000962,17.494763095000962,17.494763095000962,18.494663490000676,18.494663490000676,18.494663490000676,18.494663490000676,18.494663490000676,17.73,1,18.494663490000676,19.495840916000816,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,19.495840916000816,19.495840916000816,19.495840916000816,19.495840916000816,19.495840916000816,19.495840916000816,19.495840916000816,21.479698184999506,21.479698184999506,21.479698184999506,2,n,1.019046467001317,23.47978532399975,25.48112356800084,25.48112356800084,25.48112356800084,25.48112356800084,25.48112356800084,25.48112356800084,26.48125917300058,26.48125917300058,26.48125917300058,26.48125917300058,26.48125917300058,0.0,1,26.48125917300058,27.481440539999312,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,27.481440539999312,27.481440539999312,27.481440539999312,27.481440539999312,27.481440539999312,27.481440539999312,27.481440539999312,29.465979979000622,29.465979979000622,29.465979979000622,2,n,0.2402462230020319,31.466345450000517,33.46653153599982,33.46653153599982,33.46653153599982,33.46653153599982,33.46653153599982,33.46653153599982,34.45231524100018,34.45231524100018,34.45231524100018,34.45231524100018,34.45231524100018,0.0,1,34.45231524100018,35.81900625699927,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,35.81900625699927,36.45101920900015,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd105_muInd201.csv,105,201,return,3.1356438970015006,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
7.66675390849123,0,4.5003943475429,,0.456532801787895,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,39.625655916999676,39.625655916999676,39.625655916999676,39.625655916999676,39.625655916999676,39.625655916999676,39.625655916999676,41.60295747000055,41.60295747000055,41.60295747000055,1,v,0.3041187250000803,43.60312024099949,45.604388231000485,45.604388231000485,45.604388231000485,45.604388231000485,45.604388231000485,45.604388231000485,46.6044419789996,46.6044419789996,46.6044419789996,46.6044419789996,46.6044419789996,0,1,46.6044419789996,47.60476431200004,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
8.321340939588849,0,7.425604560843201,,2.4295061261113e-13,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,47.60476431200004,47.60476431200004,47.60476431200004,47.60476431200004,47.60476431200004,47.60476431200004,47.60476431200004,49.589384793000136,49.589384793000136,49.589384793000136,1,v,0.2774497459995473,51.58959653599959,53.58987003599941,53.58987003599941,53.58987003599941,53.58987003599941,53.58987003599941,53.58987003599941,,,,,,0,1,54.59088265399987,55.591142589999436,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
1.62053720630938,0,0.9498760577058422,,0.475296336600041,1,,,,,,,,,0,2,2,2,,,,,,,,,,,,,55.591142589999436,55.591142589999436,55.591142589999436,55.591142589999436,55.591142589999436,55.591142589999436,55.591142589999436,57.574834676001046,57.574834676001046,57.574834676001046,1,v,0.3799133709999296,59.57604340999933,61.57637085500028,61.57637085500028,61.57637085500028,61.57637085500028,61.57637085500028,61.57637085500028,62.57640846600043,62.57640846600043,62.57640846600043,62.57640846600043,62.57640846600043,0,1,62.57640846600043,63.576492869000504,,,,,,,,,,,001,2022-07-28_15h29.28.046,CGTriskyDMtask,2022.2.1,59.80653781200409,
