riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,10.73,0.0,6.63,0,,,,,0,34,34,30,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,25.2,0.0,5.4,0,,,,,0,35,35,3,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,19.86,0.0,0.0,1,,,,,0,36,36,42,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,17.94,0.0,9.03,0,,,,,0,37,37,19,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,16.11,6.99,6.99,1,,,,,0,38,38,43,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,13.45,0.0,5.27,0,,,,,0,39,39,10,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,17.0,0.0,9.5,0,,,,,0,40,40,25,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,16.6,0.0,9.7,0,,,,,0,41,41,27,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,12.68,0.0,5.66,0,,,,,0,42,42,14,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,10.95,0.0,6.53,0,,,,,0,43,43,28,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,11.2,0.0,6.4,0,,,,,0,44,44,26,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,13.04,0.0,5.48,0,,,,,0,45,45,12,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,16.0,0.0,4.0,0,,,,,0,46,46,4,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,15.27,0.0,10.37,0,,,,,0,47,47,37,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,18.77,0.0,8.61,0,,,,,0,48,48,15,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,10.39,0.0,6.81,0,,,,,0,49,49,34,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
