riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.14052351999999,74.1254772129978,5.001353538998956,[0.046875],[-0.3767361111111111],[1],[0],[0],[0.8671392290016229],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00889083699803,2.1485000615939498e-05,75.00889083699803,[0.046875],[-0.3767361111111111],[1],[0],[0],[0.867112220999843],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.87676846499744,1.754799814079888e-05,75.87676846499744,[0.046875],[-0.3767361111111111],[1],[0],[0],[0.6496850880030252],,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.52680452499771,77.5101349180004,77.52693245999762,78.51025435100019,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.51025435100019,79.51067381399844,79.51067381399844,80.51172755299922,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.51172755299922,81.51165181499891,81.51165181499891,82.51211561499804,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51211561499804,82.51211561499804,82.51211561499804,0.0015129800012800843,342,1,0.05381944444444445,-0.4149305555555556,1,0,0,cont_buttonPractice,84.462278013998,85.46340168399911,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.46340168399911,86.44649191299686,86.46343053899909,87.44682088499758,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.44682088499758,88.44689902299797,88.44689902299797,89.44695242499802,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44695242499802,90.44805011999779,90.44805011999779,91.44820943000013,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.44820943000013,91.44820943000013,91.44820943000013,0.0011569939997571055,937,1,0.003472222222222222,-0.3767361111111111,1,0,0,cont_buttonPractice,93.69876819799902,94.69883591799953,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.69883591799953,,,,,,,,
