riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.98850751099963,70.97317752500021,5.000586432997807,[0.04513888888888889],[-0.3940972222222222],[1],[0],[0],[0.7511578999983612],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.74055862800014,1.6171001334441826e-05,71.74055862800014,[0.046875],[-0.3940972222222222],[1],[0],[0],[0.6670269440000993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.40768522399958,2.9775001166854054e-05,72.40768522399958,[0.046875],[-0.3940972222222222],[1],[0],[0],[0.7321091029989475],,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.14097078899795,74.1235321690001,74.12711632299761,75.12443931400048,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12443931400048,76.12368439299826,76.12368439299826,77.1256515770001,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1256515770001,78.1258408169997,78.1258408169997,79.12625067299814,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12625067299814,79.12625067299814,79.12625067299814,0.0011252229996898677,432,0,0.046875,-0.3940972222222222,1,0,0,cont_buttonPractice,81.82756277699809,82.8275558719979,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8275558719979,83.81113631799963,83.8278012640003,84.81117175599866,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.81117175599866,85.82799595200049,85.81118545299978,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.82905862299958,87.81248195199805,87.82919541199954,88.81278560300052,,,,,,,,,,,,,,,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.81278560300052,88.81278560300052,88.81278560300052,0.0006147029998828657,937,1,0.046875,-0.3940972222222222,1,0,0,cont_buttonPractice,91.33070036999925,92.33058795499892,,,,001,2022-07-30_18h04.40.318,CGTriskyDMtask,2022.2.1,59.83503898596649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.33058795499892,,,,,,,,
