riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.95268711899917,82.93779467900094,5.001530012999865,[0.05555555555555555],[-0.4270833333333333],[1],[0],[0],[1.367378122999071],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.32345824300137,1.834700015024282e-05,84.32345824300137,[0.05381944444444445],[-0.4270833333333333],[1],[0],[0],[0.5692287880010554],,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.88729769299971,1.8991999240824953e-05,84.88729769299971,[0.05381944444444445],[-0.4270833333333333],[1],[0],[0],[0.8803891159986961],,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.77219596700161,86.75432762100172,86.77069933500024,87.75631346199953,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.75631346199953,88.7562385759993,88.7562385759993,89.74367886899927,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74367886899927,90.75569526600157,90.75569526600157,91.74508606000018,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.74508606000018,91.74508606000018,91.74508606000018,-0.0009759820022736676,342,1,0.05381944444444445,-0.4236111111111111,1,0,0,cont_buttonPractice,93.4078878140026,94.40823727600218,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.40823727600218,95.40845456700117,95.40845456700117,,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.40729217700209,97.39091466800164,97.39417549000063,98.392850430002,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.392850430002,99.39214752400221,99.39214752400221,100.38141014299981,,,,,,,,,,,,,,,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
,,,,,,3,937,739,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.38141014299981,100.38141014299981,100.38141014299981,-0.0007162510009948164,937,1,0.08680555555555555,-0.3993055555555556,1,0,0,cont_buttonPractice,103.97796561900032,104.9633436740005,,001,2022-07-30_17h50.18.662,CGTriskyDMtask,2022.2.1,60.76665250583384,
