riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,circleLeftReal.stopped,circleRightReal.stopped,lineLeftReal.stopped,orTextReal.stopped,lossTxtReal.stopped,gainTxtReal.stopped,safeTxtReal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.562758526997641,8.56697374000214,return,17.026952532003634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,25.62320515600004,27.605794025999785,v,0.24478661100147292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,,,,,27.87486904099933,27.87486904099933,v,3.4877168530001654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
21.32,0.0,7.34,0,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,87.27448421699955,87.27448421699955,87.27448421699955,87.27448421699955,87.27448421699955,87.27448421699955,87.27448421699955,89.27682704600011,89.27682704600011,89.27682704600011,2,n,0.35715980300301453,91.27654755300318,93.2785413879974,93.2785413879974,93.2785413879974,93.2785413879974,93.2785413879974,93.2785413879974,0.0,1,94.26495296299981,95.27813320200221,94.26495296299981,94.26495296299981,94.26495296299981,94.26495296299981,94.26495296299981,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
0.0,0.0,3.13,1,,,,,,,0,8,8,47,,,,,,,,,,,,,,,,,95.27813320200221,95.27813320200221,95.27813320200221,95.27813320200221,95.27813320200221,95.27813320200221,95.27813320200221,97.26097599000059,97.26097599000059,97.26097599000059,1,n,0.2691488060008851,99.26340995300416,101.26431539400073,101.26431539400073,101.26431539400073,101.26431539400073,101.26431539400073,101.26431539400073,3.13,0,102.26310658200237,103.26522396899963,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
13.45,0.0,5.27,0,,,,,,,0,9,9,10,,,,,,,,,,,,,,,,,103.26522396899963,103.26522396899963,103.26522396899963,103.26522396899963,103.26522396899963,103.26522396899963,103.26522396899963,105.24838573200395,105.24838573200395,105.24838573200395,2,n,0.30508712199662114,107.23487310900236,109.25022207300208,109.25022207300208,109.25022207300208,109.25022207300208,109.25022207300208,109.25022207300208,0.0,1,110.24965934400097,111.2497762790008,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
10.24,0.0,6.88,0,,,,,,,0,10,10,36,,,,,,,,,,,,,,,,,111.2497762790008,111.2497762790008,111.2497762790008,111.2497762790008,111.2497762790008,111.2497762790008,111.2497762790008,113.23508604000381,113.23508604000381,113.23508604000381,2,n,0.3112250730046071,115.23544762800157,117.22654166899883,117.22654166899883,117.22654166899883,117.22654166899883,117.22654166899883,117.22654166899883,0.0,1,118.2365970030005,119.2369761910013,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
16.6,0.0,9.7,0,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,119.2369761910013,119.2369761910013,119.2369761910013,119.2369761910013,119.2369761910013,119.2369761910013,119.2369761910013,121.2103803889986,121.2103803889986,121.2103803889986,2,n,0.37558877099945676,123.22165690600377,125.2220871219979,125.2220871219979,125.2220871219979,125.2220871219979,125.2220871219979,125.2220871219979,16.6,1,126.20830268300051,127.20435106600053,126.20830268300051,126.20830268300051,126.20830268300051,126.20830268300051,126.20830268300051,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
17.28,0.0,9.36,0,,,,,,,0,12,12,23,,,,,,,,,,,,,,,,,127.20435106600053,127.20435106600053,127.20435106600053,127.20435106600053,127.20435106600053,127.20435106600053,127.20435106600053,129.20687528500275,129.20687528500275,129.20687528500275,1,v,1.690792137000244,131.19308493199787,133.20843878300366,133.20843878300366,133.20843878300366,133.20843878300366,133.20843878300366,133.20843878300366,17.28,1,134.2083400920019,135.2090180899977,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
11.2,0.0,6.4,0,,,,,,,0,13,13,26,,,,,,,,,,,,,,,,,135.2090180899977,135.2090180899977,135.2090180899977,135.2090180899977,135.2090180899977,135.2090180899977,135.2090180899977,137.19104578300175,137.19104578300175,137.19104578300175,2,n,0.5224822550007957,139.19335714200133,141.19316837799852,141.19316837799852,141.19316837799852,141.19316837799852,141.19316837799852,141.19316837799852,11.2,1,142.1801382199992,143.19487008699798,142.1801382199992,142.1801382199992,142.1801382199992,142.1801382199992,142.1801382199992,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
11.84,0.0,6.08,0,,,,,,,0,14,14,20,,,,,,,,,,,,,,,,,143.19487008699798,143.19487008699798,143.19487008699798,143.19487008699798,143.19487008699798,143.19487008699798,143.19487008699798,145.16802862300392,145.16802862300392,145.16802862300392,2,n,0.3056256560012116,147.16497370300203,149.16337321200263,149.16337321200263,149.16337321200263,149.16337321200263,149.16337321200263,149.16337321200263,11.84,1,150.16402006799763,151.16236397100147,150.16402006799763,150.16402006799763,150.16402006799763,150.16402006799763,150.16402006799763,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
10.73,0.0,6.63,0,,,,,,,0,15,15,30,,,,,,,,,,,,,,,,,151.16236397100147,151.16236397100147,151.16236397100147,151.16236397100147,151.16236397100147,151.16236397100147,151.16236397100147,153.1651211089993,153.1651211089993,153.1651211089993,1,n,0.5165776490030112,155.15154925899697,157.1493507740015,157.1493507740015,157.1493507740015,157.1493507740015,157.1493507740015,157.1493507740015,6.63,0,158.14987457000097,159.1502223110001,158.14987457000097,158.14987457000097,158.14987457000097,158.14987457000097,158.14987457000097,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
20.03,0.0,1.99,0,,,,,,,0,16,16,0,,,,,,,,,,,,,,,,,159.1502223110001,159.1502223110001,159.1502223110001,159.1502223110001,159.1502223110001,159.1502223110001,159.1502223110001,161.13296303399693,161.13296303399693,161.13296303399693,2,n,0.2856658599994262,163.13477740099916,165.1354365340012,165.1354365340012,165.1354365340012,165.1354365340012,165.1354365340012,165.1354365340012,0.0,1,166.1354475909975,167.13065945400012,166.1354475909975,166.1354475909975,166.1354475909975,166.1354475909975,166.1354475909975,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
