riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,realChoice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,1,14.26,0.0,0.0,1,,,,,0,2,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.03534654599935,158.03534654599935,158.03534654599935,158.03534654599935,158.03534654599935,158.03534654599935,158.03534654599935,160.013394693,160.013394693,160.013394693,1,v,162.0251213090014,163.02450173700345,163.02450173700345,163.02450173700345,163.02450173700345,163.02450173700345,163.02450173700345,164.0255701970018,164.0255701970018,164.0255701970018,164.0255701970018,164.0255701970018,14.26,1,164.0255701970018,165.02023432200076,0.2624849769999855,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,0.0,0.0,3.13,1,,,,,0,3,3,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.02023432200076,165.02023432200076,165.02023432200076,165.02023432200076,165.02023432200076,165.02023432200076,165.02023432200076,167.010436124001,167.010436124001,167.010436124001,2,v,168.99642513800063,169.99313989499933,169.99313989499933,169.99313989499933,169.99313989499933,169.99313989499933,169.99313989499933,170.99499474900222,170.99499474900222,170.99499474900222,170.99499474900222,170.99499474900222,3.13,0,170.99499474900222,171.99025021099806,0.3693120289972285,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,18.33,0.0,8.84,0,,,,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.99025021099806,171.99025021099806,171.99025021099806,171.99025021099806,171.99025021099806,171.99025021099806,171.99025021099806,173.9685627910003,173.9685627910003,173.9685627910003,2,n,175.9800347240016,176.9801213259998,176.9801213259998,176.9801213259998,176.9801213259998,176.9801213259998,176.9801213259998,177.9793846149987,177.9793846149987,177.9793846149987,177.9793846149987,177.9793846149987,18.33,1,177.9793846149987,178.98066479500267,0.2991613279955345,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,10.35,0.0,0.0,1,,,,,0,5,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.98066479500267,178.98066479500267,178.98066479500267,178.98066479500267,178.98066479500267,178.98066479500267,178.98066479500267,180.96517100900383,180.96517100900383,180.96517100900383,2,n,182.96555170200008,183.96445928700268,183.96445928700268,183.96445928700268,183.96445928700268,183.96445928700268,183.96445928700268,184.96465973200247,184.96465973200247,184.96465973200247,184.96465973200247,184.96465973200247,10.35,1,184.96465973200247,185.96662404900417,0.31041301199729787,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,16.0,0.0,4.0,0,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.96662404900417,185.96662404900417,185.96662404900417,185.96662404900417,185.96662404900417,185.96662404900417,185.96662404900417,187.94037005800055,187.94037005800055,187.94037005800055,2,n,189.93632070400054,190.95134676300222,190.95134676300222,190.95134676300222,190.95134676300222,190.95134676300222,190.95134676300222,191.95075050400192,191.95075050400192,191.95075050400192,191.95075050400192,191.95075050400192,16.0,1,191.95075050400192,192.9473888240027,0.3106426809972618,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,15.47,0.0,10.27,0,,,,,0,7,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.9473888240027,192.9473888240027,192.9473888240027,192.9473888240027,192.9473888240027,192.9473888240027,192.9473888240027,194.92512972799886,194.92512972799886,194.92512972799886,2,n,196.93660437699873,197.9281425320005,197.9281425320005,197.9281425320005,197.9281425320005,197.9281425320005,197.9281425320005,198.92335164100223,198.92335164100223,198.92335164100223,198.92335164100223,198.92335164100223,0.0,1,198.92335164100223,199.91917123799794,0.28698484899359755,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,10.68,0.0,10.68,1,,,,,0,8,8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.91917123799794,199.91917123799794,199.91917123799794,199.91917123799794,199.91917123799794,199.91917123799794,199.91917123799794,201.92179746700276,201.92179746700276,201.92179746700276,2,v,203.90443974100344,204.89676829100063,204.89676829100063,204.89676829100063,204.89676829100063,204.89676829100063,204.89676829100063,,,,,,10.68,0,205.90655555500416,206.90669320899906,0.2733667849970516,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,2,14.72,0.0,4.64,0,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.90669320899906,206.90669320899906,206.90669320899906,206.90669320899906,206.90669320899906,206.90669320899906,206.90669320899906,208.89038562700443,208.89038562700443,208.89038562700443,2,n,210.8915229990016,211.88222734400188,211.88222734400188,211.88222734400188,211.88222734400188,211.88222734400188,211.88222734400188,,,,,,0.0,1,212.87808293600392,213.87413961400307,0.44925209699431434,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,13.94,0.0,5.03,0,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.87413961400307,213.87413961400307,213.87413961400307,213.87413961400307,213.87413961400307,213.87413961400307,213.87413961400307,215.87652019300003,215.87652019300003,215.87652019300003,1,v,217.85940378899977,218.8596501619977,218.8596501619977,218.8596501619977,218.8596501619977,218.8596501619977,218.8596501619977,219.84687686800316,219.84687686800316,219.84687686800316,219.84687686800316,219.84687686800316,0.0,1,219.84687686800316,220.86151110200444,0.31128921599156456,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,28.21,0.0,3.89,0,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.86151110200444,220.86151110200444,220.86151110200444,220.86151110200444,220.86151110200444,220.86151110200444,220.86151110200444,222.84560200000124,222.84560200000124,222.84560200000124,1,v,224.83132346600178,225.84633053400466,225.84633053400466,225.84633053400466,225.84633053400466,225.84633053400466,225.84633053400466,226.84578652300115,226.84578652300115,226.84578652300115,226.84578652300115,226.84578652300115,28.21,1,226.84578652300115,227.84726718899765,0.25407544399786275,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
