riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,circleLeftReal.stopped,circleRightReal.stopped,lineLeftReal.stopped,orTextReal.stopped,lossTxtReal.stopped,gainTxtReal.stopped,safeTxtReal.stopped,endRedirect.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.488984374998836,8.495268154998485,return,6.552597114001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
,,,,,,,,,,,,,,,,,,,,,,15.080588887998601,17.064863098999922,v,1.646343420004996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.73217659999864,18.73217659999864,v,3.7394024419991183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,22.531240740998328,22.531240740998328,22.531240740998328,22.531240740998328,22.531240740998328,22.531240740998328,22.531240740998328,24.483818928998517,24.483818928998517,24.483818928998517,2,v,0.787114205002581,26.483999142998073,28.485309155999857,28.485309155999857,28.485309155999857,28.485309155999857,28.485309155999857,28.485309155999857,29.485198857997602,29.485198857997602,29.485198857997602,29.485198857997602,29.485198857997602,3.13,0,29.485198857997602,30.48525483100093,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
28.21,0.0,3.89,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,30.48525483100093,30.48525483100093,30.48525483100093,30.48525483100093,30.48525483100093,30.48525483100093,30.48525483100093,32.469869013999414,32.469869013999414,32.469869013999414,2,n,0.5376803300023312,34.4703551599996,36.47066534999976,36.47066534999976,36.47066534999976,36.47066534999976,36.47066534999976,36.47066534999976,,,,,,28.21,1,37.47154323399809,38.471759561998624,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
20.03,0.0,1.99,0,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,38.471759561998624,38.471759561998624,38.471759561998624,38.471759561998624,38.471759561998624,38.471759561998624,38.471759561998624,40.45573406599942,40.45573406599942,40.45573406599942,1,v,0.8081540880048124,42.45661173899862,44.456957457998215,44.456957457998215,44.456957457998215,44.456957457998215,44.456957457998215,44.456957457998215,45.45709827599785,45.45709827599785,45.45709827599785,45.45709827599785,45.45709827599785,20.03,1,45.45709827599785,46.80657558999883,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,46.80657558999883,47.44168858199919,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,9,201,return,6.98922776100153,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
22.4043129424565,0,3.5150889729615296,,0.539668419779305,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,54.466669544999604,54.466669544999604,54.466669544999604,54.466669544999604,54.466669544999604,54.466669544999604,54.466669544999604,56.44388165100099,56.44388165100099,56.44388165100099,1,v,0.2759063369994692,58.44504093899741,60.445565347999946,60.445565347999946,60.445565347999946,60.445565347999946,60.445565347999946,60.445565347999946,,,,,,22.4043129424565,1,61.444533285000944,62.44662122999944,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
27.1090837410185,0,4.25883268463658,,0.534765241071733,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,62.44662122999944,62.44662122999944,62.44662122999944,62.44662122999944,62.44662122999944,62.44662122999944,62.44662122999944,64.42897384499884,64.42897384499884,64.42897384499884,1,v,0.7777092520009319,66.41599284900076,68.4154152839983,68.4154152839983,68.4154152839983,68.4154152839983,68.4154152839983,68.4154152839983,,,,,,27.1090837410185,1,69.41500008299772,70.41568775199994,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
5.629161660769019,0,11.7962615603581,,2.5470732909591e-22,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,70.41568775199994,70.41568775199994,70.41568775199994,70.41568775199994,70.41568775199994,70.41568775199994,70.41568775199994,72.399803676999,72.399803676999,72.399803676999,2,None,,74.40212054699805,76.39944384900082,76.39944384900082,76.39944384900082,76.39944384900082,76.39944384900082,76.39944384900082,77.40138499000022,77.40138499000022,77.40138499000022,77.40138499000022,77.40138499000022,nan,nan,77.40138499000022,78.40156908599965,,,,,,,,,74.39886794699851,74.39886794699851,74.39886794699851,74.40212054699805,74.40212054699805,74.40212054699805,74.40212054699805,74.40212054699805,74.40212054699805,74.40212054699805,,,001,2022-07-30_16h53.58.269,CGTriskyDMtask,2022.2.1,59.985513738595756,
