riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.700580349999655,8.694872608997684,return,2.2426096929993946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
,,,,,,,,,,,,,,,,10.967210203998548,12.94753438099724,v,0.3257340430027398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
,,,,,,,,,,,,,,,,,,,,13.29685609399894,13.29685609399894,v,2.2403826370027673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
20.03,0.0,1.99,0,,,,,0,0,0,0,,,,,,,,,,,,,15.580373941997095,15.580373941997095,15.580373941997095,15.580373941997095,15.580373941997095,15.580373941997095,15.580373941997095,17.5465616879992,17.5465616879992,17.5465616879992,2,n,0.3746613070034073,19.54792836299748,21.54811908499687,21.54811908499687,21.54811908499687,21.54811908499687,21.54811908499687,21.54811908499687,20.03,1,22.548291381997842,23.549491294998006,,,,,,,,,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
17.73,0.0,3.13,0,,,,,0,1,1,2,,,,,,,,,,,,,23.549491294998006,23.549491294998006,23.549491294998006,23.549491294998006,23.549491294998006,23.549491294998006,23.549491294998006,25.533083317997807,25.533083317997807,25.533083317997807,1,v,0.3162102390015207,27.53329728799872,29.53463518499848,29.53463518499848,29.53463518499848,29.53463518499848,29.53463518499848,29.53463518499848,0.0,1,30.5347314119972,31.534755647997372,30.5347314119972,30.5347314119972,30.5347314119972,30.5347314119972,30.5347314119972,,,,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
28.21,0.0,3.89,0,,,,,0,2,2,1,,,,,,,,,,,,,31.534755647997372,31.534755647997372,31.534755647997372,31.534755647997372,31.534755647997372,31.534755647997372,31.534755647997372,33.5195591269985,33.5195591269985,33.5195591269985,2,None,,35.53636688699771,37.53670017199693,37.53670017199693,37.53670017199693,37.53670017199693,37.53670017199693,37.53670017199693,nan,nan,38.5377047410002,,,,,,,35.51986225399742,35.51986225399742,35.51986225399742,,001,2022-07-30_18h15.18.665,CGTriskyDMtask,2022.2.1,60.00163180534836,
