riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.016063896997366,8.009539184997266,return,16.367552096999134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.397974593997787,26.38252147899766,v,1.0976433110045036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50006588299948,27.50006588299948,v,1.4520369250021758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
28.21,0.0,3.89,0,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,28.999182454997936,28.999182454997936,28.999182454997936,28.999182454997936,28.999182454997936,28.999182454997936,28.999182454997936,30.967313563996868,30.967313563996868,30.967313563996868,2,v,0.37781047000316903,32.96782140999858,34.968270332999964,34.968270332999964,34.968270332999964,34.968270332999964,34.968270332999964,34.968270332999964,3.89,0,35.969245310996484,36.9693158739974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
17.73,0.0,3.13,0,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,36.9693158739974,36.9693158739974,36.9693158739974,36.9693158739974,36.9693158739974,36.9693158739974,36.9693158739974,38.952975989999686,38.952975989999686,38.952975989999686,2,v,0.24806064100266667,40.95397589299682,42.95452004799881,42.95452004799881,42.95452004799881,42.95452004799881,42.95452004799881,42.95452004799881,3.13,0,43.954800574996625,44.95474887399905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
20.03,0.0,1.99,0,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,44.95474887399905,44.95474887399905,44.95474887399905,44.95474887399905,44.95474887399905,44.95474887399905,44.95474887399905,46.939223682999,46.939223682999,46.939223682999,2,v,0.8299302740015264,48.93942877799782,50.94084806799947,50.94084806799947,50.94084806799947,50.94084806799947,50.94084806799947,50.94084806799947,1.99,0,51.94068455499655,53.29336819499804,51.94068455499655,51.94068455499655,51.94068455499655,51.94068455499655,51.94068455499655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd201.csv,53.29336819499804,53.92460054999901,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd201.csv,1,201,return,4.491511645002902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
26.1877530055935,0,2.5666173457633703,,0.536505194235933,1,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,58.45021541299866,58.45021541299866,58.45021541299866,58.45021541299866,58.45021541299866,58.45021541299866,58.45021541299866,60.427418028997636,60.427418028997636,60.427418028997636,2,v,0.30156614299994544,62.42755056399983,64.42791193599987,64.42791193599987,64.42791193599987,64.42791193599987,64.42791193599987,64.42791193599987,2.5666173457633703,0,65.42917113899966,66.42917929899704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
19.1866640809574,0,1.89376777844736,,0.5154525540481599,1,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,66.42917929899704,66.42917929899704,66.42917929899704,66.42917929899704,66.42917929899704,66.42917929899704,66.42917929899704,68.41287462499895,68.41287462499895,68.41287462499895,1,n,0.34772496500227135,70.41406510199886,72.4144145829996,72.4144145829996,72.4144145829996,72.4144145829996,72.4144145829996,72.4144145829996,1.89376777844736,0,73.41440769699693,74.41462175299966,73.41440769699693,73.41440769699693,73.41440769699693,73.41440769699693,73.41440769699693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
23.875424798578,0,2.3959055576240598,,0.46578841158528095,1,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,74.41462175299966,74.41462175299966,74.41462175299966,74.41462175299966,74.41462175299966,74.41462175299966,74.41462175299966,76.3990030649984,76.3990030649984,76.3990030649984,2,v,0.3057597280021582,78.39917664399763,80.40077131999715,80.40077131999715,80.40077131999715,80.40077131999715,80.40077131999715,80.40077131999715,2.3959055576240598,0,81.40083606199914,82.40089654399708,81.40083606199914,81.40083606199914,81.40083606199914,81.40083606199914,81.40083606199914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.40089654399708,87.38624208699912,5.001581783999427,[0.05555555555555555],[-0.3923611111111111],[1],[0],[0],[1.5335208690012223],,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.93630772499819,1.6950998542597517e-05,88.93630772499819,[0.057291666666666664],[-0.3923611111111111],[1],[0],[0],[0.7664473589975387],,,,,,,,,,,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7028267099995,1.6712001524865627e-05,89.7028267099995,[0.05555555555555555],[-0.3923611111111111],[1],[0],[0],[0.5160856200018316],,,,,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21976349099714,91.20392892599921,91.22062245199777,92.20417283399729,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.20417283399729,93.2042016689993,93.2042016689993,94.20447343699925,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.20447343699925,95.20475197499763,95.20475197499763,96.20582884999749,,,,,,001,2022-07-30_17h22.04.918,CGTriskyDMtask,2022.2.1,59.9740939496583,
