initITIstatic,initITIdynamic,participant,date,expName,psychopyVersion,OS,frameRate,inst1.keys,inst1.rt,startPracResp.keys,startPracResp.rt,choice1.keys,outcome,extraITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,riskyGain,riskyLoss,alternative,isi,iti,loc,choice1.rt,postPractResp.keys,postPractResp.rt,realloc,realChoice.keys,realChoice.rt,outcomes,choices,actualITI,init ITI,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,staticRDM.ran,riskyoption1,riskyoption2,safeoption,ischecktrial,dynamicChoiceSetName,dynamicChoiceSetPath,bestRho,bestMu,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp.keys,key_resp.rt,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,dynamicRDM.ran,choiceP,easy0difficult1,stopBreak.keys,stopBreak.rt,movealong.keys,movealong.rt,startPractice.keys,startPractice.rt,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,trialFSPractice.ran,digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,startFSreal.keys,startFSreal.rt,digitsForTrial,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,trialsFS.ran,trialNumber,moveToBS.keys,moveToBS.rt,startBSprac.keys,startBSprac.rt,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,trialsPracticeBS.ran,startBSreal.keys,startBSreal.rt,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,digitLoopBS.ran,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,trialsBS.ran
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.7644,,,,,,,,,,,,,,,1,v,1.2356,25.2,1,3.7644,1,0,1,1,3,1,25.2,0,5.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5453,,,,,,,,,,,,,,,1,v,1.4547,0,1,3.5453,1,0,2,2,0,1,20.03,0,1.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.4617,,,,,,,,,,,,,,,2,v,1.5383,8.36,0,3.4617,1,0,3,3,13,1,19.28,0,8.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5016,,,,,,,,,,,,,,,2,v,1.4984,10.27,0,3.5016,1,0,4,4,35,1,15.47,0,10.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5147,,,,,,,,,,,,,,,2,n,1.4853,0,1,3.5147,1,0,5,5,32,1,10.55,0,6.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.6527,,,,,,,,,,,,,,,2,n,1.3473,17.94,1,4.1527,1.5,0,6,6,19,1,17.94,0,9.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.6746,,,,,,,,,,,,,,,2,n,1.3254,16,1,3.6746,1,0,7,7,4,1,16,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5879,,,,,,,,,,,,,,,1,n,1.4121,7.34,0,4.0879,1.5,0,8,8,7,1,21.32,0,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.5721,,,,,,,,,,,,,,,1,n,1.4279,10.68,0,4.0721,1.5,0,9,9,48,1,10.68,0,10.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6312ada1ce715ee3916c3748,2022-09-08_14h18.19.034,CGTgamblingSpanTasks,2022.2.1,Linux armv8l,59.62318149,,,,,,,2.7036,,,,,,,,,,,,,,,1,n,1.2964,6.29,0,4.2036,1.5,0,10,10,24,1,11.43,0,6.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
