initITIstatic,initITIdynamic,participant,date,expName,psychopyVersion,OS,frameRate,inst1.keys,inst1.rt,startPracResp.keys,startPracResp.rt,choice1.keys,choice1.rt,outcome,extraITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,riskyGain,riskyLoss,alternative,isi,iti,loc,postPractResp.keys,postPractResp.rt,realloc,realChoice.keys,realChoice.rt,outcomes,choices,actualITI,init ITI,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,staticRDM.ran,riskyoption1,riskyoption2,safeoption,ischecktrial,dynamicChoiceSetName,dynamicChoiceSetPath,bestRho,bestMu,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp.keys,key_resp.rt,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,dynamicRDM.ran,choiceP,easy0difficult1,stopBreak.keys,stopBreak.rt,movealong.keys,movealong.rt,startPractice.keys,startPractice.rt,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,trialFSPractice.ran,digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,startFSreal.keys,startFSreal.rt,digitsForTrial,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,trialsFS.ran,trialNumber,moveToBS.keys,moveToBS.rt,startBSprac.keys,startBSprac.rt,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,trialsPracticeBS.ran,startBSreal.keys,startBSreal.rt,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,digitLoopBS.ran,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,trialsBS.ran
"[1,1.5,1,1,1,1.5,1.5,1.5,1,1.5,1.5,1,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1,1.5,1,1.5,1.5,1,1,1.5,1.5,1.5,1.5,1.5]","[1,1,1.5,1.5,1,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,1,1,1,1,1.5,1,1,1,1.5,1.5,1,1,1.5,1.5,1.5,1.5,1,1.5,1,1,1.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1.5,1,1.5,1,1,1,1,1.5,1,1.5,1,1.5,1,1.5,1.5,1,1.5,1,1.5,1.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,1,1.5,1.5,1.5,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1.5]",567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,return,2.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,v,1.2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,n,1.6082,9.45,2.3918,0,0,0,0,1,18.23,0,9.45,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,n,1.36,35.16,2.64,0,1,1,1,1,53.27,0,35.16,1,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,n,1.4298,8.27,2.5702,0,2,2,2,1,8.27,0,1.15,1,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,n,1.1814,40.41,2.8186,0,3,3,3,1,45.88,0,40.41,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,v,1.4094,11.96,2.5906,0,4,4,4,1,21.56,0,11.96,1,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,v,2.3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.5096,,,,,,,,,,,,,,1,v,1.4904,0,1,3.5096,1,0,0,0,12,1,13.04,0,5.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.8581,,,,,,,,,,,,,,2,v,1.1419,10.68,0,4.3581,1.5,0,1,1,48,1,10.68,0,10.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.93,,,,,,,,,,,,,,2,v,1.07,6.63,0,3.93,1,0,2,2,30,1,10.73,0,6.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,3.0003,,,,,,,,,,,,,,1,v,0.9997,0,1,4.0003,1,0,3,3,8,1,13.94,0,5.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.8905,,,,,,,,,,,,,,2,v,1.1095,6.73,0,3.8905,1,0,4,4,32,1,10.55,0,6.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,3.0664,,,,,,,,,,,,,,1,v,0.9336,0,1,4.5664,1.5,0,5,5,7,1,21.32,0,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,3.0569,,,,,,,,,,,,,,2,n,0.9431,14.26,1,4.5569,1.5,0,6,6,41,1,14.26,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,3.0872,,,,,,,,,,,,,,2,n,0.9128,25.2,1,4.5872,1.5,0,7,7,3,1,25.2,0,5.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.771,,,,,,,,,,,,,,1,n,1.229,9.5,0,3.771,1,0,8,8,25,1,17,0,9.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.9428,,,,,,,,,,,,,,1,v,1.0572,6.99,1,4.4428,1.5,0,9,9,43,1,16.11,6.99,6.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.9573,,,,,,,,,,,,,,2,v,1.0427,10.25,0,4.4573,1.5,0,10,10,46,1,0,0,10.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.8218,,,,,,,,,,,,,,1,n,1.1782,6.4,0,3.8218,1,0,11,11,26,1,11.2,0,6.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.9013,,,,,,,,,,,,,,1,v,1.0987,0,1,3.9013,1,0,12,12,27,1,16.6,0,9.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,567b073bb7d79a0005b270bd,2022-09-08_13h22.57.778,CGTgamblingSpanTasks,2022.2.1,Win32,60.04563468,,,,,,,,2.9045,,,,,,,,,,,,,,1,n,1.0955,9.92,0,3.9045,1,0,13,13,49,1,6.79,0,9.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
