trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letters,mouse_resp1.x,mouse_resp1.y,mouse_resp1.leftButton,mouse_resp1.midButton,mouse_resp1.rightButton,mouse_resp1.started,mouse_resp1.stopped,mouse_respo2.x,mouse_respo2.y,mouse_respo2.leftButton,mouse_respo2.midButton,mouse_respo2.rightButton,mouse_respo2.started,mouse_respo2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,text.started,text.stopped,letterDisp.started,letterDisp.stopped,isiText.started,isiText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,0.057142857,-0.08285714,1,0,0,4.010245756013319,None,,,,,,,,,,,,,,,,,,,,,,,0011,001,2022-07-12_20h38.11.424,ospan,2022.1.4,60.11951481012482,
,,,,,,,,,,,,0.13428572,0.32,1,0,0,4.000837330822833,None,,,,,,,,,,,,,,,,0011,001,2022-07-12_20h38.11.424,ospan,2022.1.4,60.11951481012482,
,,,,,,,,,,,,,,,,,,,0.12571429,0.26285714,1,0,0,4.011748495977372,None,,,,,,,,,0011,001,2022-07-12_20h38.11.424,ospan,2022.1.4,60.11951481012482,
,,,,,,,,,,,,,,,,,,,,,,,,,,235.66207525797654,None,236.72299204801675,None,237.5934506979538,None,237.84347465296742,None,,,,,,,
